Username,Freq(11pm-6am),Freq(6am-11pm),Total Freq
geechee_girl,1.0,1.0,2.0
ColleenCoplick,0.0,1.0,1.0
razzmatazz459,0.0,1.0,1.0
ajafair,0.0,1.0,1.0
lexxisahandfull,0.0,1.0,1.0
ReidPowell,0.0,1.0,1.0
Esticadinha,1.0,0.0,1.0
Scholtzzz,1.0,0.0,1.0
confusedkate,0.0,1.0,1.0
roukedejong,1.0,0.0,1.0
KathrynHallPR,0.0,1.0,1.0
tdeee,0.0,1.0,1.0
pulseproject,1.0,0.0,1.0
LIZandRA97,0.0,1.0,1.0
Frassington,0.0,1.0,1.0
JerushaV,0.0,1.0,1.0
xhicasey,0.0,1.0,1.0
sense_less,0.0,1.0,1.0
ipricillia,0.0,1.0,1.0
Priincess_C,1.0,0.0,1.0
bella1608,0.0,1.0,1.0
emerrrald,0.0,1.0,1.0
catenacci,1.0,0.0,1.0
DiaZerva,0.0,1.0,1.0
XxBedusseyxX,0.0,1.0,1.0
its_me_Miss_B,2.0,0.0,2.0
Kdeven,0.0,1.0,1.0
apeck11,0.0,1.0,1.0
shanut,0.0,1.0,1.0
Katherineie,1.0,0.0,1.0
lisainfantino,0.0,1.0,1.0
darrenporter,1.0,0.0,1.0
funtime7777,0.0,1.0,1.0
_jeremybaril,0.0,1.0,1.0
vamposh,1.0,0.0,1.0
Pittarelli,0.0,1.0,1.0
Candy73,1.0,2.0,3.0
sophiasalazar,1.0,0.0,1.0
SmallieBiggs,1.0,0.0,1.0
Crichton_Kicks,1.0,1.0,2.0
anca_foster,1.0,1.0,2.0
AnneeApple,1.0,0.0,1.0
RayTNartey,0.0,1.0,1.0
SCORPIO_DOLLY,0.0,1.0,1.0
trouble0106,1.0,0.0,1.0
kiraaxo,0.0,1.0,1.0
patriciaco,0.0,4.0,4.0
lucyb946,1.0,0.0,1.0
TweetyEve,1.0,0.0,1.0
musicjelly,0.0,1.0,1.0
anushree_venky,1.0,0.0,1.0
taraSG,0.0,1.0,1.0
KEITHREILLY69,0.0,1.0,1.0
ajstillings,1.0,0.0,1.0
CRulez,0.0,1.0,1.0
nessab04,1.0,0.0,1.0
stuartbogg,0.0,1.0,1.0
Manon_89,1.0,0.0,1.0
NGowers,2.0,0.0,2.0
catiams,2.0,0.0,2.0
mr_apollo,2.0,1.0,3.0
miggyblahblah08,1.0,1.0,2.0
littledags,0.0,1.0,1.0
mattzodiak,1.0,0.0,1.0
impluvium,0.0,1.0,1.0
passionate_rice,0.0,1.0,1.0
Jesuslover037,0.0,1.0,1.0
englishtom,1.0,0.0,1.0
sofiafigueiredo,1.0,0.0,1.0
VanceStudios,0.0,1.0,1.0
bootstrapper,0.0,1.0,1.0
oppositeofariot,1.0,0.0,1.0
silvrayn,0.0,1.0,1.0
toothfairycyber,1.0,0.0,1.0
ShafeenaAzly,1.0,0.0,1.0
CaSami007,1.0,0.0,1.0
aelmazaidi,0.0,1.0,1.0
TheRealAshleyyy,0.0,1.0,1.0
enamoredsoul,3.0,0.0,3.0
x33ieroNINJA,2.0,3.0,5.0
tjdsn,0.0,1.0,1.0
designminded,0.0,1.0,1.0
JillyO,0.0,1.0,1.0
barbershopboy,0.0,1.0,1.0
TheCrazyMango,0.0,1.0,1.0
baibaks,0.0,1.0,1.0
fridley,1.0,1.0,2.0
The_Librarian2,1.0,0.0,1.0
melaniestarship,0.0,1.0,1.0
DNiCESEOUL,1.0,2.0,3.0
bob88jrthe3rd03,1.0,0.0,1.0
Tatty,2.0,1.0,3.0
No1PanicFan,1.0,1.0,2.0
JaneSumner_,0.0,1.0,1.0
Ellypoo,0.0,1.0,1.0
FUHRANK,1.0,0.0,1.0
mcsleazy,1.0,0.0,1.0
zrehman,0.0,1.0,1.0
FxckVanity,1.0,0.0,1.0
andrewcamp,0.0,1.0,1.0
ddhp,0.0,1.0,1.0
keesitt,1.0,0.0,1.0
myOWNinsanity09,0.0,1.0,1.0
emilyburnett,1.0,1.0,2.0
SEOSEM,0.0,1.0,1.0
smalltown_girl,0.0,1.0,1.0
PickwickLemon,1.0,0.0,1.0
Bridget_the1,0.0,1.0,1.0
RedRainCreative,0.0,1.0,1.0
pattycapistrano,1.0,0.0,1.0
tweeteradder10,0.0,2.0,2.0
metacosm,1.0,0.0,1.0
sydneyaustin,0.0,1.0,1.0
dharshana,1.0,0.0,1.0
Rixix,1.0,0.0,1.0
webwoke,0.0,3.0,3.0
jkozuch,0.0,2.0,2.0
bn1511,0.0,2.0,2.0
eldriyal,0.0,1.0,1.0
sarahlay,1.0,0.0,1.0
maggie_ftw,1.0,0.0,1.0
Dlewis26,0.0,1.0,1.0
sofisticat,1.0,2.0,3.0
Robstarr,0.0,1.0,1.0
Curiosafmmb,0.0,2.0,2.0
MsMusiclover,0.0,1.0,1.0
denswriter,1.0,0.0,1.0
MishaTheMartian,1.0,0.0,1.0
shychan,1.0,0.0,1.0
jlonzo,1.0,0.0,1.0
samb2004,0.0,1.0,1.0
Kellosaurousrex,1.0,0.0,1.0
DollfaceShayy,0.0,1.0,1.0
johnrt01,0.0,1.0,1.0
Treagus,2.0,1.0,3.0
tracyjr,2.0,0.0,2.0
cutiepie1703,0.0,1.0,1.0
Rachenn,1.0,0.0,1.0
alanakirsty,1.0,0.0,1.0
Emmaloveshearts,0.0,1.0,1.0
RandallSan,0.0,1.0,1.0
XXEmmaTXX,0.0,1.0,1.0
Ealasaid,0.0,1.0,1.0
CollsMarie,0.0,1.0,1.0
ap_sexy,0.0,1.0,1.0
nancyxp,0.0,1.0,1.0
ilmEditor,1.0,0.0,1.0
Ines,0.0,1.0,1.0
JulesK_7,0.0,1.0,1.0
jmanas,0.0,1.0,1.0
DylanFan,0.0,1.0,1.0
teenzine,0.0,1.0,1.0
saltypear,0.0,1.0,1.0
smitsam,0.0,1.0,1.0
cprmom,1.0,0.0,1.0
elephox,0.0,1.0,1.0
Jo_Parker,1.0,0.0,1.0
2bincontrol,0.0,1.0,1.0
amy_l,0.0,1.0,1.0
hillarygayle,0.0,1.0,1.0
njdoc,0.0,1.0,1.0
niiccccdudex3,0.0,1.0,1.0
ChrisMillerJr,1.0,0.0,1.0
11Skyler11,0.0,1.0,1.0
BeccaLCook,1.0,0.0,1.0
flyingintodark,1.0,0.0,1.0
nanalipzz89,1.0,1.0,2.0
SongoftheOss,1.0,4.0,5.0
dhonline,0.0,1.0,1.0
likeMC,1.0,0.0,1.0
Agnie91,0.0,1.0,1.0
kalebnation,0.0,1.0,1.0
RaevenWestern,0.0,2.0,2.0
lifeontheedges,1.0,0.0,1.0
CatrionaKilbrid,0.0,1.0,1.0
b_b_b_a_r_t,1.0,0.0,1.0
privatestudmuff,1.0,1.0,2.0
Ms_Hip_Hop,0.0,1.0,1.0
mcolemansc,0.0,1.0,1.0
lyciabycia,1.0,0.0,1.0
mandybroussard,0.0,1.0,1.0
ffidler,1.0,0.0,1.0
entrup,1.0,0.0,1.0
triner,0.0,1.0,1.0
StarGrl85,0.0,1.0,1.0
ladyofsalzburg,1.0,1.0,2.0
VFCzGirlLykThat,0.0,1.0,1.0
starryeyedkidxo,0.0,1.0,1.0
_Lauren_Mallory,0.0,1.0,1.0
mcvane,0.0,1.0,1.0
feedthedinos,0.0,1.0,1.0
t_lee_b,0.0,1.0,1.0
puccilove,1.0,0.0,1.0
brittysunshinee,1.0,0.0,1.0
heyy_xx_allison,1.0,0.0,1.0
MichelleZen,0.0,1.0,1.0
purplefangs,2.0,0.0,2.0
RabbiShaiSpecht,0.0,1.0,1.0
MupNorth,1.0,1.0,2.0
ianuy,1.0,0.0,1.0
andy_lamb,0.0,1.0,1.0
technokitty,1.0,0.0,1.0
gezika,0.0,1.0,1.0
cargovro0m,0.0,1.0,1.0
keera0825,0.0,1.0,1.0
ryry234,0.0,1.0,1.0
ohitsdany,0.0,1.0,1.0
siansburys,0.0,1.0,1.0
vanessatx,0.0,1.0,1.0
nataliepetit,1.0,0.0,1.0
christinegomes,1.0,0.0,1.0
Tammi_LA,0.0,1.0,1.0
Mannis1,1.0,0.0,1.0
drejo,0.0,1.0,1.0
PrettyPrats,1.0,0.0,1.0
Djalfy,2.0,1.0,3.0
juliaritchie,0.0,1.0,1.0
IamAmelieP,0.0,1.0,1.0
outrage_designs,1.0,0.0,1.0
xcreativexsoulx,0.0,1.0,1.0
Jenniechang,0.0,1.0,1.0
ZpoonZ,1.0,0.0,1.0
beet09,0.0,1.0,1.0
ernestcustodio,1.0,0.0,1.0
KayPriceless,1.0,0.0,1.0
Taelahf,1.0,0.0,1.0
FiestyBluEyes,1.0,0.0,1.0
endlessblush,1.0,1.0,2.0
amykate,2.0,1.0,3.0
EmzShezComics,1.0,0.0,1.0
maccamcb,1.0,0.0,1.0
florist,0.0,1.0,1.0
jansonlee,0.0,1.0,1.0
nadiachen,0.0,1.0,1.0
Osiris292,0.0,1.0,1.0
MrToddie,1.0,0.0,1.0
kritKrew,0.0,1.0,1.0
jessica_butler,0.0,1.0,1.0
jorgepinon,0.0,1.0,1.0
monstermashrna,1.0,0.0,1.0
soulculture,1.0,0.0,1.0
Lila158,1.0,0.0,1.0
JadelynS,0.0,1.0,1.0
bryanrieger,2.0,0.0,2.0
mike868y,1.0,0.0,1.0
cidermaker,1.0,0.0,1.0
Hargarmoopy,1.0,0.0,1.0
Andjelija,0.0,1.0,1.0
anilalur,1.0,0.0,1.0
Zerotolove,1.0,0.0,1.0
adityarao310,0.0,1.0,1.0
Soraaaa,0.0,1.0,1.0
janaspyjamas,1.0,0.0,1.0
Drakknar,0.0,1.0,1.0
passionsista,0.0,2.0,2.0
bluureindrops,1.0,0.0,1.0
pikopoki,0.0,1.0,1.0
lola_princess,1.0,0.0,1.0
lelu46,1.0,0.0,1.0
MagicMileyCyrus,1.0,2.0,3.0
Sbaby82,0.0,1.0,1.0
Erinmack,0.0,1.0,1.0
DiscoverNicole,0.0,2.0,2.0
bim1214,0.0,1.0,1.0
Leishkin,0.0,1.0,1.0
joleen_kaulitz,0.0,1.0,1.0
DanellD,0.0,1.0,1.0
grahamelliot,0.0,1.0,1.0
gabizitcha,0.0,1.0,1.0
jbcitygirl,1.0,0.0,1.0
SamuelHK,0.0,1.0,1.0
rafaronconi,0.0,1.0,1.0
girlj67,1.0,1.0,2.0
Nordstromstl,0.0,2.0,2.0
ronsimon,1.0,0.0,1.0
GeorginaMeehan,1.0,0.0,1.0
walkalongwithme,0.0,1.0,1.0
yolandagrace,1.0,0.0,1.0
Maddiiechan,1.0,0.0,1.0
shellykramer,0.0,1.0,1.0
LagunaHo,1.0,0.0,1.0
schmanders11,0.0,1.0,1.0
LifeModified,1.0,0.0,1.0
AnnieC1,1.0,0.0,1.0
SparkleAndSpunk,0.0,2.0,2.0
jsuplido,0.0,1.0,1.0
beyoncerockzz,0.0,2.0,2.0
iceangel429,0.0,1.0,1.0
waffles93,1.0,0.0,1.0
scottfaithfull,1.0,2.0,3.0
mdwillbefamous,1.0,0.0,1.0
barkingsheltie,0.0,1.0,1.0
manishsinha,1.0,0.0,1.0
jehzlau,1.0,0.0,1.0
blondiegal397,0.0,1.0,1.0
StefneLouisex,1.0,0.0,1.0
viveksingh,2.0,0.0,2.0
alethe,1.0,0.0,1.0
TrondheimTravel,2.0,0.0,2.0
joshua_fox,1.0,0.0,1.0
LolKate18,1.0,0.0,1.0
Ste1987,0.0,3.0,3.0
waggleroomgolf,0.0,1.0,1.0
GatheringMagic,0.0,1.0,1.0
SavannahKayy,0.0,1.0,1.0
SuzannaFrance,1.0,0.0,1.0
Tanya_xO,2.0,2.0,4.0
kayleighwoah,0.0,1.0,1.0
missgiggly,2.0,0.0,2.0
kennygo,0.0,1.0,1.0
annavaganza,1.0,0.0,1.0
flamestone,0.0,1.0,1.0
saharlestrange,0.0,1.0,1.0
david973,0.0,1.0,1.0
dirtystopout,0.0,1.0,1.0
pikchrpfct,1.0,0.0,1.0
undressjess,0.0,1.0,1.0
wulfbane,1.0,0.0,1.0
beardsandjuice,0.0,1.0,1.0
leannalovespatd,0.0,1.0,1.0
Lulustress,0.0,1.0,1.0
lozinja_670,1.0,0.0,1.0
isleschick,0.0,1.0,1.0
RobBothan,1.0,0.0,1.0
AichaKouyate,0.0,1.0,1.0
Gacco,0.0,1.0,1.0
jesskry,1.0,0.0,1.0
PartyCrashess,1.0,0.0,1.0
KevinCole509,0.0,1.0,1.0
thongar,1.0,1.0,2.0
anthonyrojas,1.0,0.0,1.0
sarahbrookee,1.0,0.0,1.0
sarahkrueger,0.0,1.0,1.0
karuna_ramesh,0.0,1.0,1.0
LucasSchmitt,0.0,1.0,1.0
essentialU,0.0,1.0,1.0
b5andjbluva,0.0,1.0,1.0
HansRuinemans,1.0,0.0,1.0
Dr_Jared,2.0,0.0,2.0
Abieee,1.0,0.0,1.0
datboyYo,0.0,1.0,1.0
BetterLucky,1.0,0.0,1.0
scotsmanstuart,0.0,1.0,1.0
nomadmtb,1.0,0.0,1.0
adhill,0.0,1.0,1.0
ugaled,0.0,1.0,1.0
Lozxx,0.0,1.0,1.0
daviccy,0.0,1.0,1.0
ash_16,1.0,0.0,1.0
Pale_Jewel,0.0,1.0,1.0
GlitzNGlamourD,0.0,1.0,1.0
guardian_renata,2.0,0.0,2.0
LenaAlli,1.0,0.0,1.0
Vashti25,0.0,1.0,1.0
Davidwalsh16,1.0,0.0,1.0
CindyGarrett,0.0,1.0,1.0
angilio,0.0,1.0,1.0
spgreenlaw,0.0,1.0,1.0
KarinaRain,1.0,0.0,1.0
godivazmommy,0.0,1.0,1.0
kmatthews,0.0,1.0,1.0
HollyW87,1.0,0.0,1.0
justPeanutty,0.0,1.0,1.0
twashley,0.0,1.0,1.0
SharonMcP,0.0,1.0,1.0
erikaleigh8,0.0,1.0,1.0
vactress,0.0,1.0,1.0
aGGili,0.0,1.0,1.0
rtrademark,0.0,1.0,1.0
jacques_tee69,0.0,1.0,1.0
dianasofiia,0.0,1.0,1.0
InsideDVF,0.0,1.0,1.0
andrewsmhay,0.0,1.0,1.0
kiljaeden12,0.0,1.0,1.0
bubberbrain620,0.0,1.0,1.0
AbbieFletcher_,0.0,1.0,1.0
perspectiveye,0.0,1.0,1.0
keza34,6.0,2.0,8.0
mile3177,1.0,0.0,1.0
valbuzeta,0.0,1.0,1.0
DawnMarieLentz,0.0,1.0,1.0
DEIRYLLEEE,0.0,1.0,1.0
ldbg25,0.0,1.0,1.0
Mirna023,2.0,1.0,3.0
peter_betos,1.0,0.0,1.0
shosho1,0.0,1.0,1.0
Thomasasz,1.0,0.0,1.0
chordsontheline,1.0,0.0,1.0
tonfue,0.0,2.0,2.0
theartofdance,0.0,1.0,1.0
WTFJAY,1.0,1.0,2.0
blah_blah_86,2.0,0.0,2.0
Robert_me,0.0,1.0,1.0
tweeteradder1,1.0,3.0,4.0
XoXo_disorder,0.0,1.0,1.0
StregaLilly,0.0,1.0,1.0
fluffyclouds111,1.0,0.0,1.0
Grynch206,0.0,1.0,1.0
mexicanwoman,0.0,1.0,1.0
SerenaKat,1.0,0.0,1.0
Greg_Collins,0.0,1.0,1.0
Gracelisa,1.0,0.0,1.0
HannuhBlanco,0.0,1.0,1.0
marykstevens,1.0,0.0,1.0
charlesstinger,1.0,0.0,1.0
kiwiberry,0.0,1.0,1.0
inchwormstudio,0.0,1.0,1.0
HoomanVP,0.0,1.0,1.0
mayapeep,0.0,1.0,1.0
TinyPicTweets,2.0,0.0,2.0
jbfanforever94,1.0,0.0,1.0
KaelaIsSoFly,0.0,1.0,1.0
ajizzlehyphy24,0.0,1.0,1.0
ChalsiEspiritu,1.0,0.0,1.0
jamesh_1993,0.0,1.0,1.0
xoTUSHYxo,1.0,0.0,1.0
toriilovesmcfly,1.0,0.0,1.0
FreedomFreedom,0.0,1.0,1.0
Cynthia2478,0.0,1.0,1.0
MyNameIsSmooth,1.0,0.0,1.0
Supercoolmary,0.0,1.0,1.0
katelynjayy,0.0,1.0,1.0
maddie_d,1.0,0.0,1.0
iyli,1.0,0.0,1.0
greenfee,1.0,0.0,1.0
AvantGardeJay,0.0,1.0,1.0
paulhatzi,1.0,0.0,1.0
AlliHarron,1.0,0.0,1.0
iamloz_JsPR,2.0,1.0,3.0
jonnyvelarde,1.0,0.0,1.0
missmelanie1980,1.0,0.0,1.0
papadimitriou,1.0,0.0,1.0
redleg64,0.0,1.0,1.0
atulkarmarkar,1.0,0.0,1.0
carmence,0.0,1.0,1.0
xomalesee,0.0,1.0,1.0
nisaqila,1.0,0.0,1.0
oneminutewager,0.0,1.0,1.0
cassythebandit,0.0,1.0,1.0
Lexi_bell,0.0,1.0,1.0
xoCAZZA,1.0,0.0,1.0
saesneg,1.0,0.0,1.0
imogen_kate,1.0,0.0,1.0
artificialxgirl,0.0,1.0,1.0
vickytownsend,0.0,1.0,1.0
Salunya,1.0,0.0,1.0
rubylovesjordan,0.0,1.0,1.0
azimsafwan,1.0,0.0,1.0
julia303,1.0,0.0,1.0
omegatron,1.0,1.0,2.0
_Maral,0.0,1.0,1.0
huntress07,1.0,1.0,2.0
erinlinnea,1.0,0.0,1.0
chyoun,0.0,1.0,1.0
JustRosalie,2.0,0.0,2.0
camdana_cole,0.0,1.0,1.0
Pearl,1.0,0.0,1.0
patcon0406,1.0,0.0,1.0
tori_is_here,0.0,1.0,1.0
repapipz_cutie,1.0,0.0,1.0
J4Yx2,0.0,1.0,1.0
mittensgizmo101,1.0,0.0,1.0
CRYSTALLLLLLLL,0.0,1.0,1.0
srose2go,0.0,1.0,1.0
bunnyears,0.0,1.0,1.0
vayerman,1.0,0.0,1.0
nastyposition,0.0,1.0,1.0
kevinlegaspi,1.0,0.0,1.0
melissa_atlanta,0.0,1.0,1.0
papi3336,0.0,1.0,1.0
Kernnn,1.0,0.0,1.0
Pattyf29,1.0,0.0,1.0
clarisseolviga,0.0,2.0,2.0
LoRdSyN,0.0,3.0,3.0
poojakashyap,2.0,0.0,2.0
oldskool90,1.0,1.0,2.0
shelby_says,0.0,2.0,2.0
mykeealvero,0.0,1.0,1.0
jhoanne23,1.0,0.0,1.0
Kajitsu,0.0,1.0,1.0
JChoice1908,0.0,1.0,1.0
SteppinOutTonit,1.0,0.0,1.0
my2gs,0.0,1.0,1.0
SarahSaner,2.0,0.0,2.0
clarissaboo,0.0,1.0,1.0
Chinkyeyesz,1.0,0.0,1.0
zx10r07,1.0,0.0,1.0
Ellabellaa,1.0,0.0,1.0
kaancornelio,1.0,0.0,1.0
nicolalalalala,1.0,0.0,1.0
noemimartinez,0.0,1.0,1.0
twitwithwhit,1.0,0.0,1.0
MomofFaith,0.0,1.0,1.0
tiffcarpenter,0.0,1.0,1.0
sshorex,0.0,1.0,1.0
creaturecomfort,0.0,1.0,1.0
HeyCameron,0.0,1.0,1.0
ItsVickyO,0.0,1.0,1.0
journeytolearn,1.0,0.0,1.0
ohsnapattack,1.0,0.0,1.0
melaniemprados,0.0,1.0,1.0
xtribx,0.0,1.0,1.0
BrianBootyCall,0.0,1.0,1.0
lffb,0.0,1.0,1.0
music_flurry,1.0,0.0,1.0
peerlessdeepak,0.0,1.0,1.0
amalinaaa,1.0,1.0,2.0
Heaatherrr,1.0,1.0,2.0
gokoro_pl,1.0,0.0,1.0
ahmier,2.0,0.0,2.0
Kelsvball,0.0,1.0,1.0
nicolewick,0.0,2.0,2.0
mawilms,0.0,1.0,1.0
embrownny,0.0,1.0,1.0
Marmalady12,0.0,1.0,1.0
dinibeanie,1.0,0.0,1.0
caitlinharnett,1.0,0.0,1.0
SagaChelsea,0.0,1.0,1.0
hannahh16,1.0,0.0,1.0
qnxlvr,1.0,0.0,1.0
jen1026,0.0,1.0,1.0
chickylove,1.0,0.0,1.0
lacyactress1,0.0,1.0,1.0
Buddythepuggy,2.0,0.0,2.0
baditz17,1.0,0.0,1.0
clark_mitchell,0.0,1.0,1.0
XoxoCyco,0.0,1.0,1.0
lisafrein,0.0,1.0,1.0
moony_aragorn,0.0,1.0,1.0
xoxostephtan,1.0,0.0,1.0
avl94,0.0,1.0,1.0
jenniab91,1.0,1.0,2.0
jennsbookshelf,0.0,2.0,2.0
CharismaCH,0.0,1.0,1.0
MiramarMike,1.0,0.0,1.0
Lisax1992x,2.0,0.0,2.0
kylerow,0.0,1.0,1.0
PatrickAnna,4.0,0.0,4.0
BITT59,0.0,1.0,1.0
colourcodedred,0.0,1.0,1.0
ShapStack,1.0,0.0,1.0
brookehaskins,0.0,1.0,1.0
lindsay1990,0.0,1.0,1.0
LUCKYCARMEN,0.0,1.0,1.0
blindedbyurlite,0.0,1.0,1.0
DavidDMuir,0.0,1.0,1.0
sebmartin,0.0,1.0,1.0
tweeteradder20,0.0,1.0,1.0
lorizouiten,0.0,1.0,1.0
Lee_Mary,1.0,0.0,1.0
isisproject,2.0,0.0,2.0
les1980,0.0,1.0,1.0
darnison,0.0,1.0,1.0
jeskamitch,0.0,2.0,2.0
iamsampiz,1.0,0.0,1.0
coco_bubble,0.0,1.0,1.0
vnakic,0.0,2.0,2.0
edwinhermann,1.0,0.0,1.0
inkserotica,2.0,0.0,2.0
Justinmazing,1.0,0.0,1.0
HeatherPark,0.0,1.0,1.0
krystianm15,0.0,1.0,1.0
belinda_gerard,0.0,1.0,1.0
morningstar21,1.0,0.0,1.0
gschan,1.0,2.0,3.0
bec_bec08,0.0,1.0,1.0
apollosthebe,0.0,1.0,1.0
Shawnuhhhfer,1.0,0.0,1.0
amayaone76,0.0,1.0,1.0
heyrai,0.0,1.0,1.0
Fajna,0.0,1.0,1.0
moth,0.0,1.0,1.0
ala1ne,1.0,0.0,1.0
EmilyFertitta,0.0,2.0,2.0
chelsealee_,0.0,1.0,1.0
chasssss,0.0,1.0,1.0
lovejozie,0.0,2.0,2.0
Joanmarie,0.0,1.0,1.0
G_Rosenblum,1.0,0.0,1.0
annNow,0.0,2.0,2.0
Ashpin,1.0,0.0,1.0
Tayluhgirl17,0.0,1.0,1.0
SagakureVK,0.0,1.0,1.0
burning_angel,0.0,1.0,1.0
dottyfantasy,0.0,1.0,1.0
